Location ,Date,Irr/Storm ,Station,Rep ,ID,op,no3,nh4,tkn,tp,selenium,E COLI,fecal,tss,Flow ,Notes
ARDEC 2200,6/23/2019,S1,outflow,1,A2-S1-OT,0,5,0,3.4,0.48,0.0022,0,0,1.40,data missing,
ARDEC 2200,6/23/2019,S1,outflow,2,A2-S1-OT-D,0,4.9,0,2.6,0.46,0.0027,5000,5000,0.92,data missing,
ARDEC 2200,7/5/2019,S2,outflow,1,A2-S2-OT-C1,0,2.8,0,40,1.5,0.016,800,1000,15.82,22127.51879,Part 1
ARDEC 2200,7/5/2019,S2,outflow,2,A2-S2-OT-C1-D,0,2.8,0,28,2.8,0.011,600,600,16.26,22127.51879,Part 1 Dup
ARDEC 2200,7/5/2019,S2,outflow,1,A2-S2-OT-C2,0,2.5,0,20,1.9,0.012,400,400,9.11,19077.93303,Part 2
ARDEC 2200,7/5/2019,S2,outflow,2,A2-S2-OT-C2-D,0,2.5,0,21,2.2,0.01,900,1000,8.94,19077.93303,Part 2 Dup
ARDEC 2200,7/5/2019,S2,outflow,1,A2-S2-OT-C3,0,2.2,0,18,2.1,0.0073,900,1400,6.00,9303.693651,Part 3
ARDEC 2200,7/5/2019,S2,outflow,2,A2-S2-OT-C3-D,0,2.2,0,18,1.3,0.0075,1200,1500,6.09,9303.693651,Part 3 Dup
ARDEC 2200,7/5/2019,S2,outflow,1,A2-S2-OT-C4,0,2.4,0,13,1.6,0.0077,1400,1500,5.22,12079.8535,Part 4
ARDEC 2200,7/5/2019,S2,outflow,2,A2-S2-OT-C4-D,0,2.3,0,10,1.2,0.0069,1400,1600,4.92,12079.8535,Part 4 Dup
ARDEC 2200,7/12/2019,1,inflow,1,A2-01-IN,0,10,0,4.2,0.44,0.014,100,200,2.62,no data,Inflow- Grab
ARDEC 2200,7/12/2019,1,inflow,2,A2-01-IN-D,0,10,0,4.8,0.048,0.014,,,2.79,no data,Inflow- Grab - Dup
ARDEC 2200,7/12/2019,1,outflow,1,A2-01-OT,0,9.9,0,1.2,0.46,0.01,500,700,0.23,261086.4898,
ARDEC 2200,7/12/2019,1,outflow,2,A2-01-OT-D,0,10,0,0.97,0.32,0.012,200,200,0.19,261086.4898,
ARDEC 2200,7/23/2019,2,outflow,1,A2-O2-OT,0,9.1,0,1,0.12,0.0098,,,0.12,188955.4409,
ARDEC 2200,7/23/2019,2,outflow,2,A2-02-OT-D,0,9.1,0,1.3,0.13,0.0095,,,0.07,188955.4409,
ARDEC 2200,8/3/2019,3,outflow,1,A2-03-OT,0,9.1,0,1.2,0.17,0.0092,,,0.10,53949.81587,
ARDEC 2200,8/3/2019,3,outflow,2,A2-03-OT-D,0,9.1,0,1.5,0.17,0.01,,,0.12,53949.81587,
ARDEC 2200,8/3/2019,3,gated pipe,1,A2-03-WL,0,9.3,0,0,0,0.0093,,,0.02,no data,
ARDEC 2200,8/3/2019,3,inflow,1,A2-03-IN,0,9.2,0,3,0.2,0.011,,,1.02,no data,
ARDEC 2200,8/3/2019,3,inflow,2,A2-03-IN-D,0,9.2,0,3,0.21,0.011,,,1.05,no data,
ARDEC 2200,8/6/2019,4,outflow,1,A2-04-OT,0,8.1,0,0,0.16,0.01,800,900,0.14,1429689.076,
ARDEC 2200,8/6/2019,4,outflow,2,A2-04-OT-D,0,8.1,0,0,0.15,0.0096,790,950,0.14,1429689.076,
ARDEC 2200,8/6/2019,4,inflow,1,A2-04-IN,0,8.3,0,2.7,0.24,0.0099,150,150,1.08,no data,
ARDEC 2200,8/6/2019,4,inflow,2,A2-04-IN-D,0,8.2,0,3.1,0.42,0.01,180,180,2.14,no data,
ARDEC 2200,8/18/2019,5,outflow,1,A2-05-OT,0,,0,1.4,0.24,,,,0.13,351848.3632,
ARDEC 2200,8/18/2019,5,outflow,2,A2-05-OT-D,0,,0,1.6,0.34,,,,0.16,351848.3632,
ARDEC 2200,8/22/2019,6,outflow,1,A2-06-OT ,0,7.7,0,0,0.1,0.0099,,,0.12,988164.5392,
ARDEC 2200,8/22/2019,6,outflow,2,A2-06-OT-D,0,7.7,0,0,0.19,0.0097,,,0.12,988164.5392,
ARDEC 2200,8/22/2019,6,gated pipe,1,A2-06-WL,0,7.7,0,0,0,0.01,,,0.04,no data,
ARDEC 2200,8/22/2019,6,inflow,1,A2-06-IN,0,7.7,0,2.4,0.17,0.01,,,0.76,no data,
ARDEC 2200,8/22/2019,6,inflow,2,A2-06-IN-D,0,7.7,0,2.5,0.25,0.0098,,,0.71,no data,
